metric,u_stat,u_p,cohens_d,rank_biserial
hip_ROM,57.0,0.0002447357194508958,-1.3465452611391853,0.6951871657754011
knee_ROM,77.0,0.001926954420155112,-1.0951864229012895,0.5882352941176471
ankle_ROM,51.0,0.0001242229096025385,-1.510899584892989,0.7272727272727273
pelvis_obliquity,15.0,0.009083538616891226,-1.3283194591101888,0.7142857142857143
trunk_lean_ROM,12.0,1.0,-0.36112013051482467,0.0
shoulder_ROM,52.0,0.00013935122296834682,-1.6201647699199204,0.7219251336898396
elbow_ROM,48.0,8.7596625427366e-05,-1.4921003489410298,0.7433155080213903
hip_SPARC,309.0,0.0005792897265113788,1.6759700666136685,-0.6524064171122994
knee_SPARC,260.0,0.04003871344860789,0.9921850828581426,-0.39037433155080214
hip_SI,124.0,0.07670570348222473,-0.6857024826091879,0.33689839572192515
knee_SI,198.0,0.7661751731928962,-0.07440239973528516,-0.05882352941176472
ankle_SI,20.0,2.4097243423327556e-06,-1.3952990520760689,0.893048128342246
hip_waveform_sym,218.0,0.387685237786081,0.2712418137006557,-0.1657754010695187
cadence,284.0,0.006274533532151162,0.9670482391355398,-0.518716577540107
stride_time,90.0,0.011475994222218061,-0.8774845232352895,0.48863636363636365
stride_time_CV,41.0,0.00025318095435227243,-1.6577912812144628,0.7302631578947368
kinematic_CV,85.0,0.011432293437922594,-1.0205392961827477,0.49404761904761907
hip_CRP_MAD,118.0,0.05237227024583998,-0.607480536629965,0.36898395721925137
hip_knee_CRP,203.0,0.6606673927288575,0.09104916442042969,-0.0855614973262031
arm_swing_ROM,52.0,0.00013935122296834682,-1.6201647699199204,0.7219251336898396
arm_swing_SI,74.0,0.0014413913040634038,-1.025377859476133,0.6042780748663101
double_support,82.0,0.005650273470475424,-0.7779733869862119,0.5340909090909092
MQS,305.0,0.0008752150273870023,1.2896634322677862,-0.6310160427807487
GDI,84.0,0.01047153192889743,-1.0353709835853442,0.5
